ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global"
25503,variable,,,"Lærke Egefjord kort",1,0,visible,,"En skønt miks af impressionisme og ekspressionisme til disse fine kort til fødselsdagshilsen, som barselgave, til barnedåb, konfirmation, studentergilde etc.\n\nMål: 14,8 x 21 cm (A5)\n\nKortene kan sælges i bundle med 3: pris 125 kr. Vælg dine 3 favoritter og skriv hvilken måned i kommentar : f.eks Krysantemum, Snerle og Kristtorn.",,,taxable,,1,,,0,0,,,,,0,,,,"Produkter > - Alle varer, Kort og print, Kunsthåndværkere, Kunsthåndværkere > Lærke Egefjord",,,"https://www.1x1textil.dk/wp-content/uploads/2024/02/6505160f-604e-4119-828e-d0e0c675d6cf-1.jpeg, https://www.1x1textil.dk/wp-content/uploads/2023/01/IMG_1214.jpg, https://www.1x1textil.dk/wp-content/uploads/2023/01/IMG_1216.jpg, https://www.1x1textil.dk/wp-content/uploads/2023/01/IMG_1218.jpg, https://www.1x1textil.dk/wp-content/uploads/2023/01/IMG_1220.jpg, https://www.1x1textil.dk/wp-content/uploads/2023/01/IMG_1222.jpg, https://www.1x1textil.dk/wp-content/uploads/2023/01/IMG_1226.jpg, https://www.1x1textil.dk/wp-content/uploads/2023/01/IMG_1228.jpg, https://www.1x1textil.dk/wp-content/uploads/2023/01/IMG_1230.jpg, https://www.1x1textil.dk/wp-content/uploads/2023/01/IMG_1232.jpg, https://www.1x1textil.dk/wp-content/uploads/2023/01/IMG_1234.jpg, https://www.1x1textil.dk/wp-content/uploads/2023/01/IMG_1236.jpg",,,,,,,,,812,,Blomst,"Vintergæk (januar), Viol (februar), Påskelilje (marts), Lathyrus (april), Liljekonval (maj), Kaprifolium (juni), Ridderspore (juli), Valmue (august), Snerle (september), Kosmos (oktober), Krysantemum (november), Kristtorn (december), Sæt af 3",1,0,Brand,"Lærke Egefjord",1,1,Kunstner,"Lærke Egefjord",1,1
38466,variable,,,"Lærke Egefjord kort musvit",1,0,visible,,"<strong>Den fine musvit er malet i akvarel. </strong>\n\n<strong>En skønt miks af impressionisme og ekspressionisme til disse fine kort til&nbsp;fødselsdagshilsen, som barselgave, til barnedåb, konfirmation, studentergilde etc.</strong>\n\n<strong>Mål: 14,8 x 21 cm (A5)</strong>",,,taxable,,1,,,0,0,,,,,0,,,,"Produkter > - Alle varer, Kort og print, Kunsthåndværkere, Kunsthåndværkere > Lærke Egefjord",,,"https://www.1x1textil.dk/wp-content/uploads/2023/01/7757b8e9-bd63-46a3-a41e-43f300770fba.jpeg, https://www.1x1textil.dk/wp-content/uploads/2023/01/90ebb430-b5b2-439e-938b-5924b6a9fa4c.jpeg, https://www.1x1textil.dk/wp-content/uploads/2024/02/6505160f-604e-4119-828e-d0e0c675d6cf-1.jpeg, https://www.1x1textil.dk/wp-content/uploads/2023/01/IMG_1214.jpg, https://www.1x1textil.dk/wp-content/uploads/2023/01/IMG_1216.jpg, https://www.1x1textil.dk/wp-content/uploads/2023/01/IMG_1218.jpg, https://www.1x1textil.dk/wp-content/uploads/2023/01/IMG_1220.jpg, https://www.1x1textil.dk/wp-content/uploads/2023/01/IMG_1222.jpg, https://www.1x1textil.dk/wp-content/uploads/2023/01/IMG_1226.jpg, https://www.1x1textil.dk/wp-content/uploads/2023/01/IMG_1228.jpg, https://www.1x1textil.dk/wp-content/uploads/2023/01/IMG_1230.jpg, https://www.1x1textil.dk/wp-content/uploads/2023/01/IMG_1232.jpg, https://www.1x1textil.dk/wp-content/uploads/2023/01/IMG_1234.jpg, https://www.1x1textil.dk/wp-content/uploads/2023/01/IMG_1236.jpg",,,,,,,,,812,,Blomst,"Vintergæk (januar), Viol (februar), Påskelilje (marts), Lathyrus (april), Liljekonval (maj), Kaprifolium (juni), Ridderspore (juli), Valmue (august), Snerle (september), Kosmos (oktober), Krysantemum (november), Kristtorn (december), Sæt af 3",1,0,Brand,"Lærke Egefjord",1,1,Kunstner,"Lærke Egefjord",1,1
31503,variation,,,"Lærke Egefjord kort - Sæt af 3",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,120,,,,https://www.1x1textil.dk/wp-content/uploads/2024/02/6505160f-604e-4119-828e-d0e0c675d6cf-1.jpeg,,,id:25503,,,,,,13,,Blomst,"Sæt af 3",,0,,,,,,,,
31497,variation,,,"Lærke Egefjord kort - Ridderspore (juli)",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,49,,,,https://www.1x1textil.dk/wp-content/uploads/2023/01/IMG_1226.jpg,,,id:25503,,,,,,7,,Blomst,"Ridderspore (juli)",,0,,,,,,,,
31498,variation,,,"Lærke Egefjord kort - Valmue (august)",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,49,,,,https://www.1x1textil.dk/wp-content/uploads/2023/01/IMG_1228.jpg,,,id:25503,,,,,,8,,Blomst,"Valmue (august)",,0,,,,,,,,
31499,variation,,,"Lærke Egefjord kort - Snerle (september)",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,49,,,,https://www.1x1textil.dk/wp-content/uploads/2023/01/IMG_1230.jpg,,,id:25503,,,,,,9,,Blomst,"Snerle (september)",,0,,,,,,,,
31500,variation,,,"Lærke Egefjord kort - Kosmos (oktober)",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,49,,,,https://www.1x1textil.dk/wp-content/uploads/2023/01/IMG_1232.jpg,,,id:25503,,,,,,10,,Blomst,"Kosmos (oktober)",,0,,,,,,,,
31501,variation,,,"Lærke Egefjord kort - Krysantemum (november)",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,49,,,,https://www.1x1textil.dk/wp-content/uploads/2023/01/IMG_1234.jpg,,,id:25503,,,,,,11,,Blomst,"Krysantemum (november)",,0,,,,,,,,
31502,variation,,,"Lærke Egefjord kort - Kristtorn (december)",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,49,,,,https://www.1x1textil.dk/wp-content/uploads/2023/01/IMG_1236.jpg,,,id:25503,,,,,,12,,Blomst,"Kristtorn (december)",,0,,,,,,,,
31493,variation,,,"Lærke Egefjord kort - Påskelilje (marts)",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,49,,,,https://www.1x1textil.dk/wp-content/uploads/2023/01/IMG_1218.jpg,,,id:25503,,,,,,3,,Blomst,"Påskelilje (marts)",,0,,,,,,,,
